id,name_zh,name_en,index_year,cluster,dynasty_zh,bureau_type,bureau_zh,is_high_official,has_civil_exam,has_yin_privilege,has_recommendation,has_technical_exam,has_geo,x_coord,y_coord,addr_name_chn,bureau_astronomical,bureau_medical,bureau_hydraulic,bureau_military_industrial,bureau_construction,degree,clustering,eigenvector,betweenness,degree_z,clustering_z,eigenvector_z,betweenness_z,x_coord_z,y_coord_z
55666,吳綺,Wu Qi,1619,cluster2_yuan_ming,清,works_general,工部,0,0,0,0,0,1,119.43718719,32.391269684,江都,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,0.7458564407129468,0.16883668071315916
55706,彭期生,Peng Qisheng,1582,cluster2_yuan_ming,明,hydraulic,水利/河道,0,1,0,0,0,1,120.932022,30.517859,海鹽,0,0,1,0,0,14,1.0,3.972579464849278e-05,0.0,-0.15151131795049788,1.5173807213961439,-0.3863164733807812,-0.15247069472655322,1.0797376010018311,-0.3581476105660339
55824,陳廷敬,Chen Tingjing,1639,cluster2_yuan_ming,清,works_general,工部,0,1,0,0,0,1,112.8391571,35.504318237,澤州府,0,0,0,0,0,3,1.0,0.0002155704256164772,0.0,-0.3991042384910996,1.5173807213961439,-0.3758752065601097,-0.15247069472655322,-0.72785686013678,1.0445270455816145
55869,鈕祜祿德齡,Niuhulu Deling,1707,cluster3_qing_after,清,works_general,工部,0,1,0,0,0,0,,,,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,-3.174087617753835e-15,-1.9987334503111837e-15
55984,張廷瑑,Zhang Tingzhuan,1681,cluster3_qing_after,清,works_general,工部,0,1,0,0,0,1,116.93860626,31.052280426,桐城,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,0.18778200037791049,-0.20781661329441553
56278,張英,Zhang Ying,1637,cluster2_yuan_ming,清,works_general,工部,0,1,0,0,0,1,116.93860626,31.052280426,桐城,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,0.18778200037791049,-0.20781661329441553
56763,歸朝煦,Gui Chaoxu,1732,cluster3_qing_after,清,hydraulic,水利/河道,0,0,0,0,0,0,,,,0,0,1,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,-3.174087617753835e-15,-1.9987334503111837e-15
56832,孫嘉淦,Sun Jiagan,1683,cluster3_qing_after,清,works_general,工部,0,1,0,0,0,1,111.12374878,38.472667694,興縣,0,0,0,0,0,1,0.0,7.460334641120204e-16,0.0,-0.44412113313484536,-0.9387205953692331,-0.3886753035554474,-0.15247069472655322,-1.1110045607518089,1.879514028535174
56850,曹振鏞,Cao Zhenyong,1755,cluster3_qing_after,清,works_general,工部,1,1,0,0,0,1,118.4339447,29.86577034,歙縣,0,0,0,0,0,2,1.0,1.1574939157591263e-11,0.0,-0.42161268581297245,1.5173807213961439,-0.38867530286819735,-0.15247069472655322,0.521775649730891,-0.5415780154826844
56856,梁維樞,Liang Weishu,1587,cluster2_yuan_ming,清,works_general,工部,0,0,0,0,0,1,114.563645,38.14011,真定,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,-0.3426811757705982,1.7859666381104302
