mpnet_id,id,name_zh,cluster,degree,betweenness,clustering,eigenvector,cluster1_song_and_before,cluster2_yuan_ming,cluster3_qing_after
710,14834,彭欽,cluster1_song_and_before,39,1.235923239717772e-06,0.9635627530364372,0.016338903477881646,1,0,0
711,14852,尤著,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
712,14858,尤焴,cluster1_song_and_before,40,3.2752240327057164e-06,0.9012820512820513,0.01669848886220667,1,0,0
713,14866,尤帶,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
714,14903,趙彥逾,cluster1_song_and_before,56,2.9983235808576375e-06,0.8363636363636363,0.02299836877450546,1,0,0
715,14913,趙像之,cluster1_song_and_before,59,1.3054916783698786e-05,0.8217416715371128,0.02461107462469318,1,0,0
716,14973,劉爚,cluster1_song_and_before,122,0.0007541796857484851,0.38978458203495464,0.04346161662734135,1,0,0
717,14994,陳圭,cluster1_song_and_before,23,6.550546396999103e-05,0.6403162055335968,0.003816611054787468,1,0,0
718,15026,陳大猷,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
719,15061,陳習,cluster1_song_and_before,10,0.0,1.0,0.004409610416895437,1,0,0
720,15155,李修,cluster1_song_and_before,32,2.4693514310352257e-06,0.8991935483870968,0.01657603449427718,1,0,0
721,15159,李栖筠,cluster1_song_and_before,8,3.5901504655917e-06,0.39285714285714285,0.00012941197310848015,1,0,0
722,15167,孫夷甫,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
723,15192,應孟明,cluster1_song_and_before,30,3.535536400302589e-05,0.5057471264367817,0.00839997627458014,1,0,0
724,15218,趙范,cluster1_song_and_before,24,7.319404507829386e-05,0.5108695652173914,0.006981480839388342,1,0,0
725,15223,陳永昇,cluster1_song_and_before,3,0.0,1.0,1.9428185807437722e-30,1,0,0
726,15224,陳永弼,cluster1_song_and_before,3,0.0,1.0,1.9428185807437722e-30,1,0,0
727,15267,曹組,cluster1_song_and_before,1,0.0,0.0,0.00032326142611254925,1,0,0
728,15288,鄭向,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
729,15289,鄭惇忠,cluster1_song_and_before,10,2.9786030285731885e-05,0.8,0.0028894551083549365,1,0,0
730,15316,鄭絳,cluster1_song_and_before,10,1.3673429137850278e-05,0.8,0.002244916945211776,1,0,0
731,15353,賀知章,cluster1_song_and_before,38,0.0008925717725603856,0.3911806543385491,0.0015694442120171104,1,0,0
732,15387,江鎬,cluster1_song_and_before,5,0.0,1.0,0.0026914905240827346,1,0,0
733,15431,江公亮,cluster1_song_and_before,12,9.055198641774261e-07,0.9393939393939394,0.0032834451329578763,1,0,0
734,15460,曾統,cluster1_song_and_before,6,0.0,1.0,0.004468188009741843,1,0,0
735,15501,馬廷鸞,cluster1_song_and_before,108,0.00021260333496222027,0.4619245413637937,0.03870920585718997,1,0,0
736,15505,曹矩,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
737,15598,俞康直,cluster1_song_and_before,59,0.0013096017063809631,0.7077732320280538,0.028190556921771377,1,0,0
738,15613,魏平仲,cluster1_song_and_before,1,0.0,0.0,2.541763132425118e-05,1,0,0
739,15617,魏紓,cluster1_song_and_before,4,0.0,1.0,0.0009459366483346238,1,0,0
740,15634,汪若容,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
